Web,Round,Site,M_D_T,Habitat,Site_trans,Lower_Taxon,ID_Code,Upper_Taxon,Upper_Taxon_abundance,Number,Conflict
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Cochlearia_officinalis,132.1,Phaedon_cochleariae,Phaedon_cochleariae,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Armeria_maritima,165.1,Rhamphomyia_laevipes,Rhamphomyia_laevipes,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Armeria_maritima,150.1,Rhamphomyia_laevipes,Rhamphomyia_laevipes,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Armeria_maritima,114.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Armeria_maritima,123.1,Symplecta_stictica,Symplecta_stictica,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Armeria_maritima,123.2,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Cochlearia_officinalis,137.1,Symplecta_stictica,Symplecta_stictica,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Cochlearia_officinalis,137.2,Rhamphomyia_laevipes,Rhamphomyia_laevipes,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Cochlearia_officinalis,156.1,Symplecta_sp.,Symplecta_sp.,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.3,Cochlearia_officinalis,156.2,Rhamphomyia_laevipes,Rhamphomyia_laevipes,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Cochlearia_officinalis,110.1,Lasioglossum_calceatum,Lasioglossum_calceatum,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Cochlearia_officinalis,191.1,Eupeodes_corollae,Eupeodes_corollae,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Cochlearia_officinalis,7.1,Lasioglossum_calceatum,Lasioglossum_calceatum,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Armeria_maritima,147.1,Cricotopus_sp._2,Cricotopus_sp._2,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Armeria_maritima,210.1,Chironomidae_sp.,Chironomidae_sp.,1,3
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Armeria_maritima,17.1,Siphona_urbana,Siphona_urbana,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Armeria_maritima,76.1,Empis_tessellata,Empis_tessellata,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Armeria_maritima,130.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Cochlearia_officinalis,212.1,Rhamphomyia_laevipes,Rhamphomyia_laevipes,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Armeria_maritima,205.1,Empis_caudatula,Empis_caudatula,1,NA
PL_FV,1,Walborough,dyad,salt_marsh,Walb.sal.1,Armeria_maritima,190.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,164.1,Cheilosia_ranunculi,Cheilosia_ranunculi,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Oenanthe_crocata,116.1,Cantharis_fusca,Cantharis_fusca,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Oenanthe_crocata,116.2,Cantharis_fusca,Cantharis_fusca,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,206.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,206.2,Lotophila_atra,Lotophila_atra,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Bellis_perennis,170.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Bellis_perennis,170.2,Spelobia_clunipes,Spelobia_clunipes,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,204.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Bellis_perennis,177.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Bellis_perennis,113.1,Siphona_urbana,Siphona_urbana,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,198.1,Hydrellia_maura,Hydrellia_maura,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Bellis_perennis,178.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Bellis_perennis,3.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,22.1,Empis_sp.,Empis_sp.,1,1
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,40.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,131.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,131.2,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,106.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,92.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,45.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,195.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Walborough,dyad,grassland,Walb.gra.2,Ranunculus_acris,143.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,153.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,153.2,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,159.1,Meligethes_sp.,Meligethes_sp.,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,159.2,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,159.3,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,101.1,Helophilus_pendulus,Helophilus_pendulus,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Raphanus_raphanistrum,208.1,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,47.1,Meligethes_sp.,Meligethes_sp.,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,47.2,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,47.3,Tenthredo_sp.,Tenthredo_sp.,1,1
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,44.1,Meligethes_sp.,Meligethes_sp.,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,44.2,Meligethes_sp.,Meligethes_sp.,1,NA
PL_FV,1,Burnham-on-Sea,monad,salt_marsh,Burn.sal.6,Oenanthe_crocata,44.3,Scathophaga_stercoraria,Scathophaga_stercoraria,1,NA
